algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,0,0.2635107699722956,0.3771969885379076,2.0970317673683168,nan,0.17777395993471146,0.17517175450921058,1000.0,nan,nan,0,0,0,50158,1.5403538346290588,0.9191233559449514,0.26351076997229567,0.26351076997229567,0.0,0.0,0.6541288649229685,0.6456431827023746,3.850884437561035,2.297808341185252,0.26351076997229567,5.551115123125783e-17,0.3,0.9999805065475013,0.9963267365791977
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,1,0.30216558923805237,0.5466839867830277,1.9001785385608674,nan,0.17931003123521805,0.180221090366443,1000.0,nan,nan,0,0,0,51210,1.6845219433307648,1.0737102963527043,0.3021655892380524,0.30216558923805237,0.0,0.0,0.633524136033725,0.6370702969358966,4.211304863293965,2.2944645873705545,0.3021655892380525,1.1102230246251565e-16,0.315,0.9990637600452746,0.9786439811027151
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,2,0.34410266237445,0.6460209819674492,1.6952939838171006,nan,0.18120952116118538,0.18337088967363038,1000.0,nan,nan,0,0,0,51100,1.4256088468763564,1.1307314604520797,0.3441026623744499,0.3441026623744499,0.0,0.0,0.609302556410749,0.6251666946290649,3.564022011227078,2.3151888434092203,0.3441026623744499,5.551115123125783e-17,0.33,0.9986730797161537,0.9615247170427899
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,3,0.38986963149288734,0.7035824820399285,1.5039483845233916,nan,0.17717202752828598,0.18360479444265365,1000.0,nan,nan,0,0,0,51242,1.7275002002716064,1.1389653845628103,0.38986963149288734,0.38986963149288734,0.0,0.0,0.5665594912804383,0.6093033873895509,4.28488108089992,2.27613623102506,0.38986963149288734,0.0,0.345,0.9972660674562224,0.9449690497165729
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,4,0.44226468151870224,0.7451639825105667,1.325473017692566,nan,0.1674790067805184,0.1801923787097136,1000.0,nan,nan,0,0,0,50968,1.4101928075154622,1.130017983118693,0.4422646815187023,0.44226468151870224,0.0,0.0,0.511404582538115,0.5899905014474458,3.4619776937696667,2.228197404543559,0.44226468151870235,1.1102230246251565e-16,0.36,0.9968949428753366,0.9291492161107963
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,5,0.5315777515144099,0.7744884818792344,1.1697081500291824,nan,0.15981600681940714,0.17571987489859264,1000.0,nan,nan,0,0,0,50564,1.7209561467170715,1.0829269667466481,0.53157775151441,0.53157775151441,0.0,0.0,0.47699493942324017,0.567619067832662,3.975899418195089,2.096747417052587,0.53157775151441,1.1102230246251565e-16,0.375,0.9966920225540864,0.9206221126051596
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,6,0.558999622203959,0.7956394785642624,1.041045744717121,nan,0.1440611481666565,0.1683173414071401,1000.0,nan,nan,0,0,0,50646,1.4572167226246424,1.0334252480665842,0.5589996222039592,0.558999622203959,0.0,0.0,0.4234187754917093,0.5372567674612131,3.4738680635179793,1.9910530734062195,0.5589996222039593,2.220446049250313e-16,0.39,0.9963792631075951,0.9109985474485414
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,7,0.5880046216568433,0.8103459790349007,0.9393050271272659,nan,0.12721483409404755,0.1573966859281063,1000.0,nan,nan,0,0,0,51486,1.1966008245944977,0.9788933863242467,0.5880046216568432,0.5880046216568432,0.0,0.0,0.3646495083968369,0.5001742880652759,2.8991105215890065,1.8825486024220786,0.5880046216568433,0.0,0.405,0.9950676498724079,0.8878128685071094
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,8,0.6186656634250423,0.820966981947422,0.8586764687299728,nan,0.11552283068497976,0.14405590792497,1000.0,nan,nan,0,0,0,51670,1.1161112825075785,0.9133605962991714,0.6186656634250421,0.6186656634250421,0.0,0.0,0.3250416902145347,0.4588020164001504,2.6221331357955933,1.7337164529164633,0.6186656634250423,0.0,0.42,0.9936339886780252,0.8634385489057886
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,9,0.6510644430024428,0.8292659789323806,0.7927160882949829,nan,0.10581940226256847,0.13082112001876037,1000.0,nan,nan,0,3,0,51625,1.1087402651707332,0.8325517527262369,0.6510644430024426,0.6510644430024427,0.0,0.01,0.3376907882745839,0.41647504993986206,2.32989768187205,1.5530551195144653,0.6510644430024427,1.1102230246251565e-16,0.435,0.9929101043249792,0.8426191584866563
