algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.38382898926734926,2.0915120283762616,0.0,0.564010466848101,0.1750574830919504,1000.0,0.0,0.0,0.0033140460561428753,0.0031556150631513445,225.60384259905135,0.0,1.0,0.0,0.04447437226608758,0.0,1288.9481385386118,0.0,1.0,0.0,225.60384259905135,0.0,1.0,0.0,0.04447437226608758,0.2877362750902103,1.0,1.0,5.264089660644531,30.075456565900943
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9341558839577189,0.5592566534876824,1.8787986000378927,0.0,0.6057074666023254,0.18066838182508946,1000.0,0.0,0.0,0.15646066653425805,0.0031602353136986495,227.71169090270996,0.0,1.0088645401289238,0.0,0.1348970951718404,0.0,1262.719136552084,0.0,0.9809962026774883,0.0,227.71169090270996,0.0,1.0088645401289238,0.0,0.1348970951718404,0.49170412926650603,0.9809962026774883,1.0088645401289238,12.144623514811197,67.34502061611114
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,1.9924431615311973,0.6551169828573863,1.662158097823461,0.0,0.61544775168101,0.18371205493807793,1000.0,0.0,0.0,0.1641563264808307,0.0031816577061545104,222.0771036783854,0.0,0.9848153299498431,0.0,0.22691864380539262,0.0,1224.8046351650794,0.0,0.9952900807062784,0.0,222.0771036783854,0.0,0.9848153299498431,0.0,0.22691864380539262,0.624444285481398,0.9952900807062784,0.9848153299498431,11.10385518391927,61.24023175825396
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.1404059339640487,0.7144876470168432,1.455953868230184,0.0,0.5960013449192048,0.18076253741979598,1000.0,0.0,0.0,0.18050555646186695,0.003018336552195251,219.9741409301758,0.0,0.9746094791102315,0.0,0.3481148742580125,0.0,1254.409752968489,0.0,0.9957092434167862,0.0,219.9741409301758,0.0,0.9746094791102315,0.0,0.3481148742580125,0.7517259422017667,0.9957092434167862,0.9746094791102315,14.664942728678385,83.62731686456594
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.1404059339640487,0.7549469836552938,1.2735532035430273,0.0,0.573898868901389,0.17405375987291336,1000.0,0.0,0.0,0.1269828599511779,0.002881768640363589,217.73203822544642,0.0,0.9657170509614924,0.0,0.437228768764564,0.0,1314.7250732940636,0.0,0.9948712885379791,0.0,217.73203822544642,0.0,0.9657170509614924,0.0,0.437228768764564,0.8236291361516583,0.9948712885379791,0.9657170509614924,10.160828450520833,61.35383675372297
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.1962749960451107,0.7826613134145737,1.1214010643959045,0.0,0.7972801327705383,0.16354836620390414,1000.0,0.0,0.0,0.1296704305956761,0.002809691370930523,219.82178243001303,0.0,0.9741531392208851,0.0,0.4740995889813202,0.0,1485.3691508229176,0.0,0.9759009612931145,0.0,219.82178243001303,0.0,0.9741531392208851,0.0,0.4740995889813202,0.8521477820371258,0.9759009612931145,0.9741531392208851,6.594653472900391,44.561074524687534
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.2260472244788274,0.8026429804166159,0.9953767091035843,0.0,0.6759490251541138,0.1519021973013878,1000.0,0.0,0.0,0.09712388636544347,0.0025556815857999027,218.44319559733074,0.0,0.9678674681712728,0.0,0.5543268815596666,0.0,1615.7819274196722,0.0,0.9722829500834147,0.0,218.44319559733074,0.0,0.9678674681712728,0.0,0.5543268815596666,0.9049588840595088,0.9722829500834147,0.9678674681712728,10.922159779866536,80.7890963709836
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.371125603280243,0.8162843132019043,0.8969322113196055,0.0,0.6137060854170058,0.14043516166508196,1000.0,0.0,0.0,0.27427581878792906,0.0024235537298955023,216.36285993787976,0.0,0.9599530653216148,0.0,0.6588069355381532,0.0,1771.222006729093,0.0,0.9704424838225046,0.0,216.36285993787976,0.0,0.9599530653216148,0.0,0.6588069355381532,0.9622668974583496,0.9704424838225046,0.9599530653216148,12.981771596272786,106.27332040374557
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.4013642811157334,0.826400312781334,0.8184862647453944,0.0,0.7110748368760814,0.12912078436464072,1000.0,0.0,0.0,0.18783592190795942,0.002260510106571019,219.95274021314538,0.0,0.9746715885879267,0.0,0.7616187704929482,0.0,2029.0143278565934,0.0,0.9441508728524913,0.0,219.95274021314538,0.0,0.9746715885879267,0.0,0.7616187704929482,1.0114907678888092,0.9441508728524913,0.9746715885879267,16.863043416341146,155.55776513567218
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.4013642811157334,0.8342219791809717,0.7562653052806855,0.0,0.7537113063865237,0.11885496288537979,1000.0,0.0,0.0,0.11901015101466328,0.00202127872267738,223.23995039198132,0.0,0.9904989998491192,0.0,0.8270762377504174,0.0,2317.0747776320004,0.0,0.9162214663293626,0.0,223.23995039198132,0.0,0.9904989998491192,0.0,0.8270762377504174,1.0384820760274602,0.9162214663293626,0.9904989998491192,13.39439702351888,139.02448665792002
