algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,S_agg_norm_honest,S_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,0,0.2635107699722956,0.37492573976516724,2.099824061393738,nan,0.17416987692316374,0.17518180400133132,1000.0,nan,nan,0,0,0,10662,7.149921337763469,2.878901298046112,0.0,0.0,0.6424083279557364,0.6456895423250532,2.8599686125914254,1.1515605437755585,0.26351076997229567,0.26351076997229567,0.26351076997229567,5.551115123125783e-17,0.3,0.9996825427369654,0.989981992992408
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,1,0.30216558923805237,0.5421494871750474,1.9026530000567436,nan,0.18210481656225105,0.1792751894891262,1000.0,nan,nan,0,0,0,10964,6.962582977194535,2.930569045543671,0.0,0.0,0.6404349225415964,0.6355394052930832,2.8604463150626733,1.3644765603542328,0.3021655892380524,0.30216558923805237,0.3021655892380525,1.1102230246251565e-16,0.315,0.9990607213582708,0.9768293373195933
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,2,0.34410266237445,0.6366892335936427,1.7000749796628951,nan,0.18301879689097406,0.18435614332556724,1000.0,nan,nan,0,0,0,11058,6.802916991710663,3.1005943632125854,0.0,0.0,0.6115857851289117,0.625146498467498,2.7807764053344726,1.4883102297782898,0.3441026623744499,0.3441026623744501,0.3441026623744499,5.551115123125783e-17,0.33,0.9984093959021153,0.9621249058199184
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,3,0.38986963149288734,0.6957577330619097,1.5084222859144212,nan,0.1766761315089685,0.18466288074851037,1000.0,nan,nan,0,0,0,11600,5.563198663570263,3.231776213645935,0.0,0.0,0.5630233443149808,0.6096652122886721,2.2808729939990573,1.5741835057735443,0.38986963149288734,0.3898696314928873,0.38986963149288734,0.0,0.345,0.997181188647553,0.9405906885557614
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,4,0.44226468151870224,0.7400667323172092,1.3302312695980072,nan,0.1674547932214207,0.18183475315570832,1000.0,nan,nan,0,0,0,10916,5.916254454188877,3.0406696701049807,0.0,0.0,0.5099373102829095,0.5904222721869972,2.3797902133729725,1.5485721015930176,0.4422646815187023,0.44226468151870224,0.44226468151870235,1.1102230246251565e-16,0.36,0.996671629073033,0.9270579848374446
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,5,0.5315777515144099,0.7707809808850289,1.1753452011942864,nan,0.1585684112376637,0.17710060387849808,1000.0,nan,nan,0,0,0,11580,5.026248150401646,2.960516188144684,0.0,0.0,0.4720616527828374,0.5675576450183439,2.113708111974928,1.506916800737381,0.53157775151441,0.5315777515144101,0.53157775151441,1.1102230246251565e-16,0.375,0.9960795812095031,0.9051699983948374
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,6,0.558999622203959,0.7926794807612896,1.0472833344340324,nan,0.1434427946805954,0.16943272709846496,1000.0,nan,nan,0,0,0,10848,5.074069221814473,2.6791967654228213,0.0,0.0,0.4238630326165743,0.5369190101697133,2.1812452243434057,1.4055059218406678,0.5589996222039592,0.558999622203959,0.5589996222039593,2.220446049250313e-16,0.39,0.9955262555851697,0.8945005912770225
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,7,0.5880046216568433,0.8081827294826508,0.9446071124076844,nan,0.12907636097886346,0.15901782482862473,1000.0,nan,nan,0,0,0,11050,4.093328508463773,2.453307864665985,0.0,0.0,0.3716770418126298,0.49914876762548444,1.7295630276203156,1.2991828119754791,0.5880046216568432,0.5880046216568432,0.5880046216568433,0.0,0.405,0.9946524993668832,0.8838652379966442
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,8,0.6186656634250423,0.8190087303519249,0.8631436088681221,nan,0.1179557431627203,0.14653460338711738,1000.0,nan,nan,0,0,0,11710,3.485371289429841,2.3210719132423403,0.0,0.0,0.3419696850160213,0.458194231991675,1.654826243718465,1.2131786918640137,0.6186656634250421,0.618665663425042,0.6186656634250423,0.0,0.42,0.9934316805651362,0.8619136955630143
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,9,0.6510644430024428,0.8274529772996903,0.7971353021264076,nan,0.10609552233169477,0.1333380323648453,1000.0,nan,nan,0,0,0,11736,3.2259343216816583,2.083824180364609,0.0,0.0,0.31789116061444594,0.4165061105942652,1.488021989663442,1.107392760515213,0.6510644430024426,0.6510644430024426,0.6510644430024427,1.1102230246251565e-16,0.435,0.9925802582309449,0.840237802207429
