algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.45886498868465425,1.972572336792946,nan,0.5606621503829956,0.5639237318436304,1000.0,0.0,nan,0,49859,0,299,224.26490783691406,225.56935465494792,1.0,1.0,1.0,1.0,959.345279670674,959.3728678985516,0.6223272681236267,0.6203948849439621,1.0,1.0,0.019060445256894678,1.906044525689468,224.26490783691406,225.56935465494792,1.1512508935164383,0.9321785469853499,1.0,1.0,136.2386724243164,579.4611018578137
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,1,1.9454057062765855,0.5724359858036041,1.7057719641923905,nan,0.5589944322903951,0.962400646408399,1000.0,0.0,nan,0,50901,0,309,223.59742863972983,251.1678338623047,1.0,0.8751906208197275,0.9900498337491682,1.1136173388569337,1085.8499594767363,1223.9469928259143,0.6154879331588745,1.1240713888406753,0.9900498337491682,1.1136173388569337,0.13510979829435782,1.9365142738176484,223.59742863972983,251.1678338623047,1.2159524836083322,0.9358596564199606,0.8799909815574304,1.108864742506635,156.06703860473633,760.4285947229902
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,2,2.0415335233351195,0.622411983013153,1.4812462562322617,nan,0.5533000032107035,1.5225525812307994,1000.0,0.0,nan,0,50796,0,304,221.31918674045139,232.97958363850913,1.0,0.9465113065640132,0.9801986733067553,1.0326282196496215,1180.6086736844545,1222.0294406119017,0.6087606019443936,2.205720880627632,0.9801986733067553,1.0326282196496215,0.22363997897057375,2.019621635103103,221.31918674045139,232.97958363850913,1.3012289726500912,0.9634087140037593,0.9480692296737991,1.031101145484295,143.7714955444336,754.4686204934611
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,3,2.185995814196188,0.6511849841475487,1.3052442222833633,nan,0.5832256547042302,1.9970022710164388,1000.0,0.0,nan,0,50933,0,309,219.6114022391183,228.9529582722982,0.9976151159831456,0.9545460788408915,0.9727599335906957,1.014556088319631,1322.7699903200505,1315.4826970888091,0.590228293623243,3.7240665529171624,0.9727599335906957,1.014556088319631,0.3547063423155532,2.13279604451986,219.6114022391183,228.9529582722982,1.4215601636381374,0.9941918468095376,0.9564663543822659,1.0126925654973218,143.5208942260742,826.327177982247
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,4,2.3404870698970552,0.6734504839777946,1.1756699854135513,nan,0.593832896815406,2.4077224405606588,1000.0,0.0,nan,0,50665,0,303,217.7439202202691,228.985980275472,0.9937954611248441,0.9436788801352183,0.966750694578383,1.0149021763196377,1521.0987855491644,1462.2929224768086,0.5800132486555312,5.885334019859632,0.966750694578383,1.0149021763196377,0.4372584559241945,2.2484223948888227,217.7439202202691,228.985980275472,1.523956819302971,1.0294136888681178,0.9451385863776346,1.0134997059776591,141.31097872924803,904.75553162597
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,5,2.450411235974374,0.6908439832925797,1.0815480208396913,nan,0.7687612672646841,2.761709504922231,1000.0,0.0,nan,0,50262,0,302,219.767453511556,230.7728923034668,0.9726405342419943,0.9243446614344915,0.9772545533683489,1.0231950086647892,1744.9443602597669,1597.7838920862462,0.6774111191431681,7.433214143117269,0.9772545533683489,1.0231950086647892,0.471000499718649,2.350970430954498,219.767453511556,230.7728923034668,1.5989824584601589,1.0679354630744828,0.9252916393326778,1.0222942154236825,141.10094482421874,979.609667574865
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,6,2.4964019841522105,0.7023174807429313,1.0114117950201034,nan,0.6582056709698269,3.081318146387736,1000.0,0.0,nan,0,50342,0,304,218.3490731375558,232.42303136189778,0.9750493764877319,0.9056670174996058,0.9652621458989161,1.0306039908503435,2026.507186874272,1684.8248543153454,0.5646660327911377,9.280811253190041,0.9652621458989161,1.0306039908503435,0.5260156424273091,2.414355402130583,218.3490731375558,232.42303136189778,1.6590194982492734,1.0833881956220242,0.9072490256850029,1.0291141116494968,142.51070584106446,1039.266013205447
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,7,2.5392246395872196,0.7102179819345474,0.9577303326129913,nan,0.5725294947624207,3.4236040886243186,1000.0,0.0,nan,0,51175,0,311,216.51392800467355,230.94717239379884,0.9696032064301627,0.90187890569369,0.9607356023754215,1.0238813218395604,2273.668425579084,1679.2385202487908,0.5467763756002698,7.09247616827488,0.9607356023754215,1.0238813218395604,0.6590699912123945,2.4712019622068517,216.51392800467355,230.94717239379884,1.7463491738090686,1.0770076222634175,0.9048984605035965,1.0210659075959365,144.63069342041015,1071.2058280654885
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,8,2.5869787500134658,0.7165394824743271,0.9148156225681305,nan,0.6565398454666138,3.695488083362579,1000.0,0.0,nan,0,51361,0,309,214.98570963541667,231.88630193074545,0.9669425328572591,0.8861599135398864,0.9536322346762388,1.0282039910720344,2489.87304388637,1693.0069047544976,0.5322245796521504,7.092248545686404,0.9536322346762388,1.0282039910720344,0.7865097353584887,2.509481800848714,214.98570963541667,231.88630193074545,1.8202929746526235,1.0622823097975114,0.8900067049359518,1.024652955053187,145.58135244750977,1090.5003341692895
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,9,2.640293256441307,0.722531481385231,0.8798862797021866,nan,0.6982254783312479,4.028421224753062,1000.0,0.0,nan,0,51322,0,306,232.690185546875,228.86495229085287,0.8706698069969813,0.8901235818862915,1.0321300818538337,1.0143506703112468,2958.865569054464,1590.9696479783206,0.5298506518205007,7.320161963701248,1.0321300818538337,1.0143506703112468,0.8470898710798292,2.5486608155458415,232.690185546875,228.86495229085287,1.8680324377594366,1.06285607080234,0.8893753597751642,1.0150344938321156,142.90353582763672,1025.5945624442995
