algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3801006558537483,2.095569508870443,nan,0.5636371799877712,0.5638625544309616,1000.0,0.0,nan,0,30595,0,205,1.0,1.0,1.0,1.0,225.45499093191964,225.54495796203614,1288.099957924811,1288.9794921870032,0.6230170982224601,0.6204560029506684,1.0,1.0,0.04447437226608758,1.9060445256894676,225.45499093191964,225.54495796203614,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9741862475250824,0.5539019867777825,1.890558876991272,nan,0.6168531700968742,1.0193786010146142,1000.0,0.0,nan,0,30955,0,213,0.9978587350466738,1.0622241576213043,0.9921126179397106,0.9271003121137619,224.8368148803711,239.64999839782715,1243.9701927821184,1326.9097050179053,0.6164112836122513,1.0564057025313378,0.9978587350466738,1.0622241576213043,0.13514498332663463,1.9597451943206525,224.8368148803711,239.64999839782715,0.8649850677242419,0.9719124275736383,0.9319160384712396,1.0574563485417021,103.05477743530274,570.57092817619
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.0853318492617112,0.6502146502335866,1.680051888624827,nan,0.6188159068425496,1.5409807473421098,1000.0,0.0,nan,0,31093,0,213,0.9827645246709902,1.0212953844881236,0.9973823149998983,0.9580730801820755,221.65911865234375,230.34076049804688,1214.7008047519998,1247.9300446622042,0.6058834592501322,1.2824919053912163,0.9827645246709902,1.0212953844881236,0.22730047880609172,2.0596694672163793,221.65911865234375,230.34076049804688,0.9602480741702067,1.0201114909279114,0.9608155849368073,1.0186071849659981,98.78607775878906,535.6130420074417
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.219548078028233,0.7093959814310073,1.4801495210329692,nan,0.59774070084095,2.009503665566444,1000.0,0.0,nan,0,31167,0,215,0.972959239708538,1.0086538949456338,0.9974097400903702,0.9606280207633973,219.50726394653321,227.5750853729248,1247.8660038445473,1233.3763879565663,0.5890197873115539,1.4083503937721253,0.972959239708538,1.0086538949456338,0.3486925543680382,2.1843219324694405,219.50726394653321,227.5750853729248,1.0829443056085988,1.0719369084294395,0.9639718134294857,1.0054089262877162,99.81032470703126,543.2651953364084
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.4005042959919893,0.750631982088089,1.2998872645696005,nan,0.5764366345746177,2.4594848668575287,1000.0,0.0,nan,0,31001,0,207,0.9625832703744247,0.9953036705591822,0.9981329611369542,0.9640772160887718,216.90408870152064,224.64924957275392,1303.0857069604176,1241.7894864479888,0.5785092498574939,3.53833455145359,0.9625832703744247,0.9953036705591822,0.43813695836123856,2.3430002924667637,216.90408870152064,224.64924957275392,1.2000822920034486,1.1314260923493353,0.9663051620265034,0.9931630836312074,95.93301431274413,533.2021943740873
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.461614884523626,0.7790929814179738,1.1459214361508687,nan,0.8090719315740798,2.863087805509567,1000.0,0.0,nan,0,30663,0,203,0.9641638878638741,0.9908205884809516,0.9864023725191752,0.9583789536356926,217.4216071234809,223.56748794555665,1398.708758865891,1274.9835516005471,0.5732260213957893,3.15124375551939,0.9641638878638741,0.9908205884809516,0.47587103143036774,2.4434314713914023,217.4216071234809,223.56748794555665,1.2628952074147817,1.169872330092519,0.9595857037311536,0.9896726922821302,93.3405841064453,535.1701782998049
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.5107343966698537,0.7992629790306092,1.0195999735593795,nan,0.6784583886464437,3.231793761253357,1000.0,0.0,nan,0,30964,0,208,0.9643757411610958,0.9888629875138701,0.9759905934333801,0.9499891403317452,217.77551981608073,223.08317161560058,1553.6178456925734,1327.6467643480087,0.5594615936279297,4.524027492702007,0.9643757411610958,0.9888629875138701,0.5565918950456665,2.489758497575239,217.77551981608073,223.08317161560058,1.3298585360574955,1.180157682232056,0.9518031951993011,0.9871545749776299,95.76653424072266,577.6672411099808
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.5686949201692966,0.8136016462246577,0.9188201693693797,nan,0.6195818649397956,3.5843448352813723,1000.0,0.0,nan,0,30833,0,215,0.9551516784244988,0.9843096316260858,0.9755920105510287,0.9443198671936989,215.56726921929254,222.03472412109375,1717.6822996376457,1350.0945241139445,0.5461479988363054,4.554043503403664,0.9551516784244988,0.9843096316260858,0.6613143494333236,2.5328844383780478,215.56726921929254,222.03472412109375,1.4099423850112132,1.1836264472969125,0.9469019707736619,0.9819020942057713,96.57431134033203,601.8743724325329
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.6301944011783274,0.8238556462526322,0.8392150203386942,nan,0.7250156920889149,3.886612935066223,1000.0,0.0,nan,0,31697,0,217,0.9654171285129108,0.9857973534174679,0.95417610977007,0.9320984756946564,217.86645640497622,222.2917894744873,1925.2158441430227,1331.823816184305,0.5371513859085415,4.472300919890404,0.9654171285129108,0.9857973534174679,0.7651742536219214,2.577114354530902,217.86645640497622,222.2917894744873,1.4899502939855136,1.1867093535094986,0.9343755410925689,0.9836953571268635,98.93857278442383,621.2894553043011
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.696124588055025,0.8318283108870188,0.7756245082616806,nan,0.7711416516039107,4.221560177803039,1000.0,0.0,nan,0,31525,0,213,0.9781444094062803,0.975235230782289,0.9297395414776273,0.9329226899147034,220.49572923448352,219.95021682739258,2165.8983804236022,1270.0205299392862,0.5226044687959883,3.735398174226284,0.9781444094062803,0.975235230782289,0.8312764698730529,2.6267518310562536,220.49572923448352,219.95021682739258,1.549466614346333,1.1951133493148156,0.9326598611446696,0.9754754381916094,95.91793298339844,585.9805536709642
